City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,13.72,67,100,0.37,AU,1679482143
1,airai,-8.9266,125.4092,16.28,97,100,0.35,TL,1679482145
2,san patricio,28.017,-97.5169,21.05,92,100,6.79,US,1679482146
3,isiro,2.7739,27.616,31.94,36,100,0.87,CD,1679482147
4,hambantota,6.1241,81.1185,31.19,74,40,3.6,LK,1679482148
5,norrtalje,59.758,18.705,7.46,92,100,4.42,SE,1679482149
6,mareeba,-17.0,145.4333,23.02,88,51,0.87,AU,1679482150
7,hilo,19.7297,-155.09,23.68,89,100,3.09,US,1679482151
8,ribeira grande,38.5167,-28.7,16.54,94,75,5.36,PT,1679481786
9,saint-leu,-21.15,55.2833,29.48,94,27,3.62,RE,1679482152
10,fort nelson,58.8053,-122.7002,-6.7,88,0,0.0,CA,1679481914
11,dargaville,-35.9333,173.8833,15.17,68,65,3.38,NZ,1679482155
12,cape town,-33.9258,18.4232,24.1,68,0,2.57,ZA,1679482132
13,bethel,41.3712,-73.414,6.46,64,0,0.0,US,1679482156
14,la ronge,55.1001,-105.2842,-17.86,85,0,1.54,CA,1679482157
15,tasiilaq,65.6145,-37.6368,-11.91,62,20,4.46,GL,1679482158
16,punta arenas,-53.15,-70.9167,8.06,76,0,9.26,CL,1679481848
17,vaini,-21.2,-175.2,24.09,94,40,1.54,TO,1679482160
18,coihaique,-45.5752,-72.0662,4.41,97,100,2.74,CL,1679482161
19,jamestown,42.097,-79.2353,7.77,59,100,0.0,US,1679482162
20,festus,38.2206,-90.396,7.07,92,100,3.09,US,1679482162
21,rikitea,-23.1203,-134.9692,25.3,81,27,7.43,PF,1679482163
22,chokurdakh,70.6333,147.9167,-24.28,86,100,6.84,RU,1679482164
23,carutapera,-1.195,-46.02,24.25,92,93,0.69,BR,1679482165
24,chulym,55.0997,80.9572,-4.24,85,30,4.25,RU,1679482166
25,labuan,5.2767,115.2417,28.2,78,20,3.09,MY,1679482167
26,kapaa,22.0752,-159.319,24.18,89,100,0.0,US,1679482168
27,vizinga,61.0749,50.1031,-0.27,81,90,5.18,RU,1679482169
28,puerto ayora,-0.7393,-90.3518,26.42,92,25,1.34,EC,1679482170
29,lyngseidet,69.5763,20.2189,-6.0,79,100,4.9,NO,1679482170
30,bocsig,46.4167,21.95,16.13,48,24,3.01,RO,1679482171
31,bluff,-46.6,168.3333,12.8,75,96,6.62,NZ,1679482172
32,camargo,27.6667,-105.1667,14.52,37,3,0.59,MX,1679482173
33,khasan,42.4308,130.6434,4.56,96,100,1.5,RU,1679482174
34,san joaquin,37.9333,-121.3011,9.5,91,100,6.69,US,1679482175
35,mindelo,16.8901,-24.9804,23.75,50,20,2.06,CV,1679482176
36,virden,39.5009,-89.7679,5.9,93,100,4.4,US,1679482177
37,kodiak,57.79,-152.4072,1.73,87,100,2.57,US,1679482178
38,yumen,40.2833,97.2,10.01,9,67,3.99,CN,1679482179
39,mastung,29.7994,66.845,18.3,28,92,8.53,PK,1679482180
40,purpe,64.4803,76.6897,-1.32,97,100,8.98,RU,1679482182
41,manaia,-39.55,174.1333,11.99,75,5,0.72,NZ,1679482183
42,chuy,-33.6971,-53.4616,20.13,63,93,3.1,UY,1679482184
43,kijang,35.2442,129.2139,18.85,80,100,2.47,KR,1679482185
44,avarua,-21.2078,-159.775,26.03,94,20,1.03,CK,1679482186
